player_key,name,height_inch,weight_lbs,birth_date,mlb_debut_date,bat_hand,throw_hand,rs_user_id,br_user_id
,Ender Inciarte,70.0,165.0,1990-10-29,2014-05-02,L,L,incie001,
,Dansby Swanson,73.0,190.0,1994-02-11,2016-08-17,R,R,swand001,
,Freddie Freeman,77.0,225.0,1989-09-12,2010-09-01,L,R,freef001,
,Nick Markakis,74.0,195.0,1983-11-17,2006-04-03,L,L,markn001,
,Adonis Garcia,69.0,190.0,1985-04-12,2015-05-19,R,R,garca004,
,Brandon Phillips,71.0,185.0,1981-06-28,2002-09-13,R,R,philb001,
,Tyler Flowers,76.0,245.0,1986-01-24,2009-09-03,R,R,flowt001,
,Emilio Bonifacio,71.0,180.0,1985-04-23,2007-09-02,B,R,bonie001,
,Bartolo Colon,72.0,185.0,1973-05-24,1997-04-04,R,R,colob001,
,Dee Gordon,71.0,150.0,1988-04-22,2011-06-06,L,R,gordd002,
,J.T. Realmuto,73.0,215.0,1991-03-18,2014-06-05,R,R,realj001,
,Christian Yelich,76.0,195.0,1991-12-05,2013-07-23,L,R,yelic001,
,Giancarlo Stanton,77.0,235.0,1989-11-08,2010-06-08,R,R,stanm004,
,Justin Bour,76.0,250.0,1988-05-28,2014-06-05,L,R,bourj002,
,Marcell Ozuna,73.0,220.0,1990-11-12,2013-04-30,R,R,ozunm001,
,Derek Dietrich,72.0,200.0,1989-07-18,2013-05-08,L,R,dietd001,
,J.T. Riddle,73.0,180.0,1991-10-12,2017-04-11,L,R,riddj001,
,Dan Straily,74.0,215.0,1988-12-01,2012-08-03,R,R,strad003,
,Jace Peterson,72.0,210.0,1990-05-09,2014-04-25,L,R,petej002,
,Mike Foltynewicz,76.0,220.0,1991-10-07,2014-08-02,R,R,foltm001,
,Brad Ziegler,76.0,200.0,1979-10-10,2008-05-31,R,R,ziegb001,
,Tyler Moore,74.0,215.0,1987-01-30,2012-04-29,R,R,moort002,
,Kyle Barraclough,75.0,225.0,1990-05-23,2015-08-07,R,R,barrk002,
,Johan Camargo,72.0,160.0,1993-12-13,2017-04-11,B,R,camaj001,
,Eric O'Flaherty,74.0,195.0,1985-02-05,2006-08-16,L,L,oflae001,
,David Phelps,74.0,200.0,1986-10-09,2012-04-08,R,R,pheld001,
,Ian Krol,73.0,210.0,1991-05-09,2013-06-05,L,L,kroli001,
,A.J. Ramos,70.0,210.0,1986-09-20,2012-09-04,R,R,ramoa001,
,Miguel Rojas,72.0,150.0,1989-02-24,2014-06-06,R,R,rojam002,
,Chase d'Arnaud,73.0,200.0,1987-01-21,2011-06-24,R,R,darnc001,
,Jaime Garcia,74.0,200.0,1986-07-08,2008-07-11,L,L,garcj004,
,Tom Koehler,74.0,225.0,1986-06-29,2012-09-05,R,R,koeht001,
,Ichiro Suzuki,69.0,160.0,1973-10-22,2001-04-02,L,R,suzui001,
,Jose Ramirez,75.0,190.0,1990-01-21,2014-06-04,R,R,ramij004,
,Junichi Tazawa,71.0,180.0,1986-06-06,2009-08-07,R,R,tazaj001,
,Arodys Vizcaino,72.0,190.0,1990-11-13,2011-08-10,R,R,vizca001,
,Jim Johnson,77.0,224.0,1983-06-27,2006-07-29,R,R,johnj010,
,Anthony Recker,74.0,240.0,1983-08-29,2011-08-25,R,R,recka001,
,Curtis Granderson,73.0,180.0,1981-03-16,2004-09-13,L,R,granc001,
,Asdrubal Cabrera,72.0,170.0,1985-11-13,2007-08-08,B,R,cabra002,
,Yoenis Cespedes,70.0,210.0,1985-10-18,2012-03-28,R,R,cespy001,
,Wilmer Flores,75.0,190.0,1991-08-06,2013-08-06,R,R,florw001,
,Jay Bruce,75.0,205.0,1987-04-03,2008-05-27,L,L,brucj001,
,Neil Walker,75.0,215.0,1985-09-10,2009-09-01,B,R,walkn001,
,T.J. Rivera,73.0,205.0,1988-10-27,2016-08-10,R,R,rivet001,
,Travis d'Arnaud,74.0,195.0,1989-02-10,2013-08-17,R,R,darnt001,
,Robert Gsellman,76.0,205.0,1993-07-18,2016-08-23,R,R,gselr001,
,A.J. Ellis,75.0,230.0,1981-04-09,2008-09-15,R,R,ellia001,
,Wei-Yin Chen,72.0,195.0,1985-07-21,2012-04-10,L,L,chenw001,
,Jose Urena,75.0,175.0,1991-09-12,2015-04-14,R,R,urenj001,
,Lucas Duda,77.0,240.0,1986-02-03,2010-09-01,L,R,dudal001,
,Josh Edgin,73.0,225.0,1986-12-17,2012-07-13,R,L,edgij001,
,Jose Reyes,72.0,160.0,1983-06-11,2003-06-10,B,R,reyej001,
,Rafael Montero,72.0,185.0,1990-10-17,2014-05-14,R,R,montr004,
,Jerry Blevins,78.0,180.0,1983-09-06,2007-09-16,L,L,blevj001,
,Michael Conforto,73.0,215.0,1993-03-01,2015-07-24,L,R,confm001,
,Fernando Salas,74.0,200.0,1985-05-30,2010-05-28,R,R,salaf001,
,Dustin McGowan,75.0,220.0,1982-03-24,2005-07-30,R,R,mcgod001,
,Juan Lagares,73.0,175.0,1989-03-17,2013-04-23,R,R,lagaj001,
,Addison Reed,76.0,215.0,1988-12-27,2011-09-04,L,R,reeda001,
,Josh Smoker,74.0,250.0,1988-11-26,2016-08-19,L,L,smokj001,
,Rene Rivera,70.0,190.0,1983-07-31,2004-09-22,R,R,river003,
,Nick Wittgren,74.0,210.0,1991-05-29,2016-04-19,R,R,wittn001,
,Jacob deGrom,76.0,180.0,1988-06-19,2014-05-15,L,R,degrj001,
,Hansel Robles,71.0,185.0,1990-08-13,2015-04-24,R,R,roblh001,
,Adam Conley,75.0,185.0,1990-05-24,2015-06-10,L,L,conla001,
,Noah Syndergaard,78.0,240.0,1992-08-29,2015-05-12,L,R,syndn001,
,Edinson Volquez,73.0,187.0,1983-07-03,2005-08-30,R,R,volqe001,
,Jarlin Garcia,75.0,215.0,1993-01-18,2017-04-14,L,L,garcj006,
,Matt Harvey,76.0,225.0,1989-03-27,2012-07-26,R,R,harvm001,
,Josh Harrison,68.0,185.0,1987-07-08,2011-05-31,R,R,harrj002,
,Jordy Mercer,75.0,200.0,1986-08-27,2012-05-29,R,R,mercj002,
