player_key,name,height_inch,weight_lbs,birth_date,mlb_debut_date,bat_hand,throw_hand,rs_user_id,br_user_id
,Bartolo Colon,72.0,185.0,1973-05-24,1997-04-04,R,R,colob001,
,Dan Straily,74.0,215.0,1988-12-01,2012-08-03,R,R,strad003,
,Mike Foltynewicz,76.0,220.0,1991-10-07,2014-08-02,R,R,foltm001,
,Brad Ziegler,76.0,200.0,1979-10-10,2008-05-31,R,R,ziegb001,
,Kyle Barraclough,75.0,225.0,1990-05-23,2015-08-07,R,R,barrk002,
,Eric O'Flaherty,74.0,195.0,1985-02-05,2006-08-16,L,L,oflae001,
,David Phelps,74.0,200.0,1986-10-09,2012-04-08,R,R,pheld001,
,Ian Krol,73.0,210.0,1991-05-09,2013-06-05,L,L,kroli001,
,A.J. Ramos,70.0,210.0,1986-09-20,2012-09-04,R,R,ramoa001,
,Jaime Garcia,74.0,200.0,1986-07-08,2008-07-11,L,L,garcj004,
,Tom Koehler,74.0,225.0,1986-06-29,2012-09-05,R,R,koeht001,
,Jose Ramirez,75.0,190.0,1990-01-21,2014-06-04,R,R,ramij004,
,Junichi Tazawa,71.0,180.0,1986-06-06,2009-08-07,R,R,tazaj001,
,Arodys Vizcaino,72.0,190.0,1990-11-13,2011-08-10,R,R,vizca001,
,Jim Johnson,77.0,224.0,1983-06-27,2006-07-29,R,R,johnj010,
,Robert Gsellman,76.0,205.0,1993-07-18,2016-08-23,R,R,gselr001,
,Wei-Yin Chen,72.0,195.0,1985-07-21,2012-04-10,L,L,chenw001,
,Jose Urena,75.0,175.0,1991-09-12,2015-04-14,R,R,urenj001,
,Josh Edgin,73.0,225.0,1986-12-17,2012-07-13,R,L,edgij001,
,Rafael Montero,72.0,185.0,1990-10-17,2014-05-14,R,R,montr004,
,Jerry Blevins,78.0,180.0,1983-09-06,2007-09-16,L,L,blevj001,
,Fernando Salas,74.0,200.0,1985-05-30,2010-05-28,R,R,salaf001,
,Dustin McGowan,75.0,220.0,1982-03-24,2005-07-30,R,R,mcgod001,
,Addison Reed,76.0,215.0,1988-12-27,2011-09-04,L,R,reeda001,
,Josh Smoker,74.0,250.0,1988-11-26,2016-08-19,L,L,smokj001,
,Nick Wittgren,74.0,210.0,1991-05-29,2016-04-19,R,R,wittn001,
,Hansel Robles,71.0,185.0,1990-08-13,2015-04-24,R,R,roblh001,
,Adam Conley,75.0,185.0,1990-05-24,2015-06-10,L,L,conla001,
,Noah Syndergaard,78.0,240.0,1992-08-29,2015-05-12,L,R,syndn001,
,Edinson Volquez,73.0,187.0,1983-07-03,2005-08-30,R,R,volqe001,
,Jarlin Garcia,75.0,215.0,1993-01-18,2017-04-14,L,L,garcj006,
,Jacob deGrom,76.0,180.0,1988-06-19,2014-05-15,L,R,degrj001,
,Matt Harvey,76.0,225.0,1989-03-27,2012-07-26,R,R,harvm001,
,Jameson Taillon,77.0,240.0,1991-11-18,2016-06-08,R,R,tailj001,
,Johnny Barbato,73.0,235.0,1992-07-11,2016-04-05,R,R,barbj001,
,Wade LeBlanc,75.0,200.0,1984-08-07,2008-09-03,L,L,leblw001,
,Ivan Nova,76.0,210.0,1987-01-12,2010-05-13,R,R,novai001,
,Chad Kuhl,75.0,215.0,1992-09-10,2016-06-26,R,R,kuhlc001,
,Trevor Williams,75.0,230.0,1992-04-25,2016-09-07,R,R,willt002,
,Juan Nicasio,75.0,200.0,1986-08-31,2011-05-28,R,R,nicaj001,
,Felipe Rivero,74.0,200.0,1991-07-05,2015-04-17,L,L,rivef001,
,Daniel Hudson,76.0,220.0,1987-03-09,2009-09-04,R,R,hudsd001,
,Jake Odorizzi,74.0,185.0,1990-03-27,2012-09-23,R,R,odorj001,
,Danny Farquhar,71.0,180.0,1987-02-17,2011-09-13,R,R,farqd001,
,Jumbo Diaz,76.0,315.0,1984-02-27,2014-06-20,R,R,diazj005,
,Chase Whitley,75.0,215.0,1989-06-14,2014-05-15,R,R,whitc001,
,Alex Colome,74.0,185.0,1988-12-31,2013-05-30,R,R,coloa001,
,Alex Cobb,74.0,195.0,1987-10-07,2011-05-01,R,R,cobba001,
,Erasmo Ramirez,71.0,205.0,1990-05-02,2012-04-09,R,R,ramie004,
,Carlos Martinez,72.0,185.0,1991-09-21,2013-05-03,R,R,martc006,
,Brian Ellington,76.0,195.0,1990-08-04,2015-08-03,R,R,ellib001,
,Miguel Socolovich,73.0,190.0,1986-07-24,2012-07-14,R,R,socom001,
,Adam Wainwright,79.0,205.0,1981-08-30,2005-09-11,R,R,waina001,
,Brett Cecil,74.0,225.0,1986-07-02,2009-05-05,R,L,cecib001,
,Matt Bowman,72.0,175.0,1991-05-31,2016-04-06,R,R,bowmm001,
,Trevor Rosenthal,74.0,190.0,1990-05-29,2012-07-18,R,R,roset001,
,Seung Hwan Oh,70.0,205.0,1982-07-15,2016-04-03,R,R,oh--s001,
,Lance Lynn,77.0,250.0,1987-05-12,2011-06-02,R,R,lynnl001,
,Sam Tuivailala,75.0,195.0,1992-10-19,2014-09-09,R,R,tuivs001,
,Jonathan Broxton,76.0,275.0,1984-06-16,2005-07-29,R,R,broxj001,
,Kevin Siegrist,77.0,215.0,1989-07-20,2013-06-06,L,L,siegk001,
,Julio Teheran,74.0,175.0,1991-01-27,2011-05-07,R,R,tehej001,
,R.A. Dickey,75.0,205.0,1974-10-29,2001-04-22,R,R,dickr001,
,Justin Nicolino,75.0,190.0,1991-11-22,2015-06-20,L,L,nicoj001,
,Sam Freeman,71.0,170.0,1987-06-24,2012-06-01,R,L,frees001,
,Jason Motte,72.0,195.0,1982-06-22,2008-09-03,R,R,mottj001,
,Joe Musgrove,77.0,265.0,1992-12-04,2016-08-02,R,R,musgj001,
,James Hoyt,78.0,230.0,1986-09-30,2016-08-03,R,R,hoytj001,
,Luke Gregerson,75.0,200.0,1984-05-14,2009-04-06,L,R,gregl001,
,Brad Peacock,73.0,175.0,1988-02-02,2011-09-06,R,R,peacb001,
,Dallas Keuchel,75.0,210.0,1988-01-01,2012-06-17,L,L,keucd001,
,Michael Feliz,76.0,225.0,1993-06-28,2015-05-31,R,R,felim001,
,Tony Sipp,72.0,190.0,1983-07-12,2009-04-22,L,L,sippt001,
,Lance McCullers,74.0,205.0,1993-10-02,2015-05-18,L,R,mccul002,
,Chris Devenski,75.0,210.0,1990-11-13,2016-04-08,R,R,devec001,
,Will Harris,76.0,225.0,1984-08-28,2012-08-13,R,R,harrw002,
,Ken Giles,74.0,205.0,1990-09-20,2014-06-12,R,R,gilek001,
,Jesse Chavez,74.0,175.0,1983-08-21,2008-08-27,R,R,chavj001,
,Yusmeiro Petit,72.0,230.0,1984-11-22,2006-05-14,R,R,petiy001,
,Jose Alvarez,71.0,180.0,1989-05-06,2013-06-09,L,L,alvaj003,
,Keynan Middleton,74.0,185.0,1993-09-12,2017-05-05,R,R,middk001,
,Bud Norris,72.0,225.0,1985-03-02,2009-07-29,R,R,norrb001,
,Blake Parker,75.0,225.0,1985-06-19,2012-05-17,R,R,parkb001,
,J.C. Ramirez,76.0,250.0,1988-08-16,2013-06-23,R,R,ramij002,
,Vance Worley,74.0,230.0,1987-09-25,2010-07-24,R,R,worlv001,
,Matt Shoemaker,74.0,225.0,1986-09-27,2013-09-20,R,R,shoem001,
,Mike Morin,76.0,220.0,1991-05-03,2014-04-30,R,R,morim002,
,Deolis Guerra,77.0,245.0,1989-04-17,2015-06-27,R,R,guerd001,
,David Hernandez,75.0,215.0,1985-05-13,2009-05-28,R,R,hernd002,
,Jeremy Hellickson,73.0,185.0,1987-04-08,2010-08-02,R,R,hellj001,
,Joely Rodriguez,73.0,200.0,1991-11-14,2016-09-11,L,L,rodrj004,
,Mark Leiter,72.0,195.0,1991-03-13,2017-04-28,R,R,leitm002,
,Vincent Velasquez,75.0,205.0,1992-06-07,2015-06-10,R,R,velav001,
,Luis Garcia,74.0,215.0,1987-01-30,2013-07-10,R,R,garcl005,
,Edubray Ramos,72.0,160.0,1992-12-19,2016-06-24,R,R,ramoe002,
,Hector Neris,74.0,175.0,1989-06-14,2014-08-05,R,R,nerih001,
,Aaron Nola,73.0,195.0,1993-06-04,2015-07-21,R,R,nolaa001,
,Ricardo Pinto,72.0,165.0,1994-01-20,2017-05-31,R,R,pintr002,
,Jeanmar Gomez,75.0,170.0,1988-02-10,2010-07-18,R,R,gomej002,
,Pat Neshek,75.0,205.0,1980-09-04,2006-07-07,B,R,neshp001,
,Joaquin Benoit,75.0,205.0,1977-07-26,2001-08-08,R,R,benoj001,
,Zack Greinke,74.0,190.0,1983-10-21,2004-05-22,R,R,greiz001,
,Jeff Locke,73.0,215.0,1987-11-20,2011-09-10,L,L,lockj001,
,Andrew Chafin,74.0,220.0,1990-06-17,2014-08-13,R,L,chafa001,
,Archie Bradley,76.0,230.0,1992-08-10,2015-04-11,R,R,brada001,
,Fernando Rodney,71.0,170.0,1977-03-18,2002-05-04,R,R,rodnf001,
,Patrick Corbin,74.0,185.0,1989-07-19,2012-04-30,L,L,corbp001,
,Jorge de la Rosa,73.0,190.0,1981-04-05,2004-08-14,L,L,delaj001,
,Tom Wilhelmsen,78.0,230.0,1983-12-16,2011-04-03,R,R,wilht001,
